Timestamp,Student Name,Department,Event Name,Rating,Feedback,Suggestions
2025-01-09 16:00:22.866379,Student_169,CSE,Seminar,5,Excellent event! Great speakers and arrangements.,Improve the coordination next time.
2025-01-26 16:00:22.866379,Student_544,IT,Tech Fest,5,"It was average, expected better coordination.",Bring more sponsors.
2025-04-29 16:00:22.866379,Student_266,CSE,Alumni Meet,4,"It was average, expected better coordination.",Include more guest speakers.
2025-04-09 16:00:22.866379,Student_957,IT,Tech Fest,4,"It was average, expected better coordination.",Keep it up!
2025-09-19 16:00:22.866379,Student_225,ME,Workshop,4,Good experience but the sound system had issues.,Add more interactive sessions.
2025-05-08 16:00:22.866379,Student_752,CSE,Alumni Meet,3,The event was engaging and informative.,Add more interactive sessions.
2025-03-22 16:00:22.866379,Student_737,ECE,Cultural Week,3,The event was really well organized and enjoyable.,Bring more sponsors.
2025-06-02 16:00:22.866379,Student_575,IT,Hackathon,5,"It was average, expected better coordination.",Start the event on time.
2024-12-15 16:00:22.866379,Student_994,BBA,Alumni Meet,2,Great work by the organizing committee!,Add more interactive sessions.
2025-10-27 16:00:22.866379,Student_486,ME,Tech Fest,2,Very inspiring and fun event.,Better food arrangements needed.
2024-11-14 16:00:22.866379,Student_289,ECE,Sports Meet,2,Great work by the organizing committee!,Include more guest speakers.
2025-04-20 16:00:22.866379,Student_607,MBA,Sports Meet,2,The event was engaging and informative.,Improve the coordination next time.
2024-12-20 16:00:22.866379,Student_216,Civil,Sports Meet,3,Excellent event! Great speakers and arrangements.,Include more guest speakers.
2025-08-31 16:00:22.866379,Student_655,ME,Alumni Meet,2,Excellent event! Great speakers and arrangements.,Improve the coordination next time.
2025-05-21 16:00:22.866379,Student_272,MBA,Tech Fest,2,I liked it but it started late.,Bring more sponsors.
2024-12-29 16:00:22.866379,Student_248,CSE,Workshop,5,The event was engaging and informative.,Make it longer next time!
2025-03-29 16:00:22.866379,Student_302,IT,Hackathon,5,Good experience but the sound system had issues.,Add more interactive sessions.
2025-03-13 16:00:22.866379,Student_775,MBA,Hackathon,4,Excellent event! Great speakers and arrangements.,Include more guest speakers.
2025-06-03 16:00:22.866379,Student_631,BBA,Seminar,2,"It was average, expected better coordination.",Keep it up!
2025-09-11 16:00:22.866379,Student_332,IT,Hackathon,2,The event was really well organized and enjoyable.,Include more guest speakers.
2025-10-14 16:00:22.866379,Student_242,CSE,Workshop,4,Great work by the organizing committee!,Improve the coordination next time.
2025-10-27 16:00:22.866379,Student_472,IT,Cultural Week,3,Could have more workshops next time.,Better food arrangements needed.
2025-02-11 16:00:22.866379,Student_755,IT,Tech Fest,4,Very inspiring and fun event.,Bring more sponsors.
2025-10-16 16:00:22.866379,Student_429,Civil,Workshop,5,"Loved the energy, but the management could improve.",Keep it up!
2025-01-29 16:00:22.866379,Student_457,ECE,Sports Meet,5,"It was average, expected better coordination.",Add more interactive sessions.
2025-05-25 16:00:22.866379,Student_472,CSE,Workshop,5,The event was engaging and informative.,Improve the coordination next time.
2025-06-28 16:00:22.866379,Student_447,BBA,Workshop,5,Could have more workshops next time.,Include more guest speakers.
2025-07-30 16:00:22.866379,Student_747,IT,Tech Fest,3,"It was average, expected better coordination.",Bring more sponsors.
2024-12-16 16:00:22.866379,Student_277,ECE,Alumni Meet,5,Great work by the organizing committee!,Bring more sponsors.
2025-03-22 16:00:22.866379,Student_968,CSE,Workshop,2,Good experience but the sound system had issues.,Keep it up!
2025-03-14 16:00:22.866379,Student_803,IT,Cultural Week,4,Excellent event! Great speakers and arrangements.,Keep it up!
2025-06-05 16:00:22.866379,Student_300,IT,Tech Fest,2,The event was engaging and informative.,Keep it up!
2025-03-30 16:00:22.866379,Student_560,CSE,Seminar,5,Very inspiring and fun event.,Better food arrangements needed.
2025-03-02 16:00:22.866379,Student_657,BBA,Hackathon,4,Great work by the organizing committee!,Provide feedback certificates.
2025-02-17 16:00:22.866379,Student_489,MBA,Cultural Week,3,"It was average, expected better coordination.",Need more technical activities.
2025-02-14 16:00:22.866379,Student_808,ECE,Seminar,4,"Loved the energy, but the management could improve.",Keep it up!
2025-10-18 16:00:22.866379,Student_923,CSE,Alumni Meet,3,"It was average, expected better coordination.",Make it longer next time!
2025-02-28 16:00:22.866379,Student_350,MBA,Cultural Week,2,Good experience but the sound system had issues.,Better food arrangements needed.
2025-10-23 16:00:22.866379,Student_218,CSE,Seminar,5,Great work by the organizing committee!,Improve the coordination next time.
2025-01-12 16:00:22.866379,Student_473,BBA,Seminar,2,The event was really well organized and enjoyable.,Include more guest speakers.
2025-06-04 16:00:22.866379,Student_323,BBA,Tech Fest,4,Very inspiring and fun event.,Start the event on time.
2025-05-04 16:00:22.866379,Student_878,Civil,Alumni Meet,2,Very inspiring and fun event.,Better food arrangements needed.
2025-01-19 16:00:22.866379,Student_162,Civil,Seminar,2,Great work by the organizing committee!,Add more interactive sessions.
2024-11-20 16:00:22.866379,Student_926,ME,Tech Fest,4,Good experience but the sound system had issues.,Improve the coordination next time.
2025-05-04 16:00:22.866379,Student_560,MBA,Sports Meet,2,The event was engaging and informative.,Improve the coordination next time.
2025-07-22 16:00:22.866379,Student_204,Civil,Cultural Week,4,Great work by the organizing committee!,Bring more sponsors.
2024-12-21 16:00:22.866379,Student_617,BBA,Cultural Week,5,I liked it but it started late.,Make it longer next time!
2025-04-14 16:00:22.866379,Student_962,CSE,Hackathon,2,Very inspiring and fun event.,Start the event on time.
2024-11-04 16:00:22.866379,Student_870,MBA,Alumni Meet,2,The event was really well organized and enjoyable.,Need more technical activities.
2025-10-05 16:00:22.866379,Student_664,IT,Seminar,2,Very inspiring and fun event.,Start the event on time.
2025-04-09 16:00:22.866379,Student_557,BBA,Workshop,4,I liked it but it started late.,Bring more sponsors.
2025-06-05 16:00:22.866379,Student_184,IT,Seminar,3,Excellent event! Great speakers and arrangements.,Need more technical activities.
